サンプル番号	PWM値	ロリコン	ロリコン速度	20個平均		近似曲線		
2	5540	0	0	0.047619048		-4.562 	-61.173 	
3	5560	0	0	0.047619048		-3.896 	-52.238 	
4	5580	0	0	0.047619048		-3.423 	-45.898 	
5	5600	0	0	0.047619048		-3.056 	-40.980 	
6	5620	0	0	0.047619048		-2.757 	-36.962 	
7	5640	0	0	0.095238095		-2.503 	-33.565 	
8	5660	0	0	0.095238095		-2.284 	-30.622 	
9	5680	0	0	0.095238095		-2.090 	-28.027 	
10	5700	0	0	0.095238095		-1.917 	-25.705 	
11	5720	0	0	0.142857143		-1.760 	-23.605 	
12	5740	0	0	0.142857143		-1.617 	-21.687 	
13	5760	0	0	0.142857143		-1.486 	-19.923 	
14	5780	0	0	0.142857143		-1.364 	-18.290 	
15	5800	0	0	0.142857143		-1.251 	-16.769 	
16	5820	0	0	0.19047619		-1.145 	-15.347 	
17	5840	0	0	0.19047619		-1.045 	-14.011 	
18	5860	0	0	0.19047619		-0.951 	-12.752 	
19	5880	0	0	0.238095238		-0.862 	-11.560 	
20	5900	0	0	0.238095238		-0.778 	-10.430 	
21	5920	0	1	0.238095238		-0.698 	-9.354 	
22	5940	1	0	0.238095238		-0.621 	-8.329 	
23	5960	1	0	0.238095238		-0.548 	-7.350 	
24	5980	1	0	0.285714286		-0.478 	-6.412 	
25	6000	1	0	0.285714286		-0.411 	-5.512 	
26	6020	1	0	0.333333333		-0.347 	-4.648 	
27	6040	1	1	0.333333333		-0.285 	-3.816 	
28	6060	2	0	0.333333333		-0.225 	-3.015 	
29	6080	2	0	0.333333333		-0.167 	-2.241 	
30	6100	2	0	0.380952381		-0.111 	-1.494 	
31	6120	2	1	0.380952381		-0.058 	-0.772 	
32	6140	3	0	0.380952381		-0.005 	-0.072 	
33	6160	3	0	0.380952381		0.045 	0.606 	0
34	6180	3	0	0.428571429		0.094 	1.264 	
35	6200	3	0	0.428571429		0.142 	1.903 	
36	6220	3	1	0.476190476		0.188 	2.524 	
37	6240	4	0	0.476190476		0.233 	3.128 	
38	6260	4	0	0.476190476		0.277 	3.715 	
39	6280	4	1	0.523809524		0.320 	4.288 	
40	6300	5	0	0.523809524		0.361 	4.846 	
41	6320	5	0	0.571428571		0.402 	5.390 	
42	6340	5	1	0.571428571		0.442 	5.921 	
43	6360	6	0	0.571428571		0.480 	6.439 	
44	6380	6	1	0.619047619		0.518 	6.946 	
45	6400	7	0	0.571428571		0.555 	7.441 	
46	6420	7	1	0.619047619		0.591 	7.926 	
47	6440	8	0	0.619047619		0.626 	8.400 	
48	6460	8	1	0.666666667		0.661 	8.864 	
49	6480	9	0	0.666666667		0.695 	9.318 	
50	6500	9	1	0.666666667		0.728 	9.763 	
51	6520	10	0	0.666666667		0.761 	10.200 	10
52	6540	10	1	0.714285714		0.793 	10.628 	
53	6560	11	0	0.714285714		0.824 	11.047 	
54	6580	11	1	0.761904762		0.855 	11.459 	
55	6600	12	0	0.714285714		0.885 	11.864 	
56	6620	12	1	0.80952381		0.914 	12.261 	
57	6640	13	1	0.761904762		0.943 	12.651 	
58	6660	14	0	0.666666667		0.972 	13.034 	
59	6680	14	1	0.714285714		1.000 	13.411 	
60	6700	15	1	0.714285714		1.028 	13.781 	
61	6720	16	1	0.714285714		1.055 	14.145 	
62	6740	17	0	0.619047619		1.082 	14.504 	
63	6760	17	1	0.619047619		1.108 	14.856 	
64	6780	18	1	0.619047619		1.134 	15.203 	
65	6800	19	0	0.619047619		1.159 	15.545 	
66	6820	19	1	0.666666667		1.184 	15.882 	
67	6840	20	1	0.666666667		1.209 	16.213 	
68	6860	21	1	0.666666667		1.233 	16.539 	
69	6880	22	1	0.666666667		1.257 	16.861 	
70	6900	23	0	0.666666667		1.281 	17.178 	
71	6920	23	1	0.714285714		1.304 	17.491 	
72	6940	24	1	0.714285714		1.327 	17.799 	
73	6960	25	1	0.714285714		1.350 	18.103 	
74	6980	26	1	0.714285714		1.372 	18.403 	
75	7000	27	0	0.761904762		1.394 	18.699 	
76	7020	27	2	0.80952381		1.416 	18.991 	
77	7040	29	0	0.761904762		1.438 	19.279 	
78	7060	29	-1	0.80952381		1.459 	19.563 	
79	7080	28	1	0.904761905		1.480 	19.844 	
80	7100	29	1	0.857142857		1.501 	20.121 	20
81	7120	30	1	0.857142857		1.521 	20.395 	
82	7140	31	-1	0.80952381		1.541 	20.665 	
83	7160	30	0	0.952380952		1.561 	20.932 	
84	7180	30	1	1		1.581 	21.196 	
85	7200	31	1	1		1.600 	21.457 	
86	7220	32	1	1		1.619 	21.715 	
87	7240	33	1	1		1.638 	21.969 	
88	7260	34	1	0.904761905		1.657 	22.221 	
89	7280	35	1	0.904761905		1.676 	22.470 	
90	7300	36	1	0.904761905		1.694 	22.717 	
91	7320	37	1	0.857142857		1.712 	22.960 	
92	7340	38	1	0.857142857		1.730 	23.201 	
93	7360	39	1	0.80952381		1.748 	23.439 	
94	7380	40	1	0.80952381		1.766 	23.675 	
95	7400	41	2	0.761904762		1.783 	23.908 	
96	7420	43	1	0.761904762		1.800 	24.139 	
97	7440	44	1	0.761904762		1.817 	24.367 	
98	7460	45	1	0.714285714		1.834 	24.593 	
99	7480	46	1	0.761904762		1.851 	24.817 	
100	7500	47	0	0.761904762		1.867 	25.038 	
101	7520	47	1	0.761904762		1.884 	25.258 	
102	7540	48	0	0.80952381		1.900 	25.475 	
103	7560	48	2	0.904761905		1.916 	25.690 	
104	7580	50	1	0.857142857		1.932 	25.903 	
105	7600	51	1	0.904761905		1.947 	26.114 	
106	7620	52	1	0.952380952		1.963 	26.323 	
107	7640	53	1	1		1.978 	26.530 	
108	7660	54	-1	1		1.994 	26.735 	
109	7680	53	1	1.047619048		2.009 	26.938 	
110	7700	54	1	1.095238095		2.024 	27.139 	
111	7720	55	0	1.142857143		2.039 	27.338 	
112	7740	55	1	1.19047619		2.054 	27.536 	
113	7760	56	0	1.142857143		2.068 	27.732 	
114	7780	56	1	1.142857143		2.083 	27.926 	
115	7800	57	0	1.095238095		2.097 	28.118 	
116	7820	57	2	1.095238095		2.111 	28.309 	
117	7840	59	1	1		2.125 	28.498 	
118	7860	60	0	0.952380952		2.139 	28.686 	
119	7880	60	2	0.952380952		2.153 	28.872 	
120	7900	62	1	0.857142857		2.167 	29.056 	
121	7920	63	0	0.80952381		2.181 	29.239 	
122	7940	63	2	0.857142857		2.194 	29.421 	
123	7960	65	2	0.857142857		2.208 	29.601 	
124	7980	67	1	0.857142857		2.221 	29.779 	
125	8000	68	2	0.904761905		2.234 	29.956 	30
126	8020	70	2	0.904761905		2.247 	30.132 	
127	8040	72	2	0.904761905		2.260 	30.306 	
128	8060	74	1	0.80952381		2.273 	30.479 	
129	8080	75	0	0.761904762		2.286 	30.650 	
130	8100	75	2	0.904761905		2.298 	30.820 	
131	8120	77	2	0.904761905		2.311 	30.989 	
132	8140	79	1	0.80952381		2.324 	31.157 	
133	8160	80	0	0.80952381		2.336 	31.323 	
134	8180	80	0	0.904761905		2.348 	31.488 	
135	8200	80	0	0.904761905		2.361 	31.652 	
136	8220	80	0	0.952380952		2.373 	31.815 	
137	8240	80	0	1.047619048		2.385 	31.976 	
138	8260	80	0	1.095238095		2.397 	32.136 	
139	8280	80	0	1.19047619		2.409 	32.296 	
140	8300	80	0	1.238095238		2.420 	32.454 	
141	8320	80	0	1.333333333		2.432 	32.610 	
142	8340	80	1	1.380952381		2.444 	32.766 	
143	8360	81	2	1.428571429		2.455 	32.921 	
144	8380	83	2	1.476190476		2.467 	33.074 	
145	8400	85	2	1.428571429		2.478 	33.227 	
146	8420	87	2	1.333333333		2.489 	33.378 	
147	8440	89	2	1.380952381		2.500 	33.529 	
148	8460	91	0	1.333333333		2.512 	33.678 	
149	8480	91	0	1.428571429		2.523 	33.827 	
150	8500	91	3	1.571428571		2.534 	33.974 	
151	8520	94	2	1.476190476		2.545 	34.120 	
152	8540	96	0	1.380952381		2.555 	34.266 	
153	8560	96	1	1.523809524		2.566 	34.410 	
154	8580	97	2	1.619047619		2.577 	34.554 	
155	8600	99	0	1.571428571		2.588 	34.697 	
156	8620	99	1	1.619047619		2.598 	34.838 	
157	8640	100	2	1.714285714		2.609 	34.979 	
158	8660	102	1	1.666666667		2.619 	35.119 	
159	8680	103	2	1.666666667		2.629 	35.258 	
160	8700	105	1	1.619047619		2.640 	35.396 	
161	8720	106	2	1.666666667		2.650 	35.534 	
162	8740	108	1	1.714285714		2.660 	35.670 	
163	8760	109	2	1.80952381		2.670 	35.806 	
164	8780	111	3	1.857142857		2.680 	35.940 	
165	8800	114	1	1.857142857		2.690 	36.074 	
166	8820	115	0	1.952380952		2.700 	36.208 	
167	8840	115	3	2.095238095		2.710 	36.340 	
168	8860	118	1	2.095238095		2.720 	36.471 	
169	8880	119	2	2.19047619		2.730 	36.602 	
170	8900	121	3	2.142857143		2.739 	36.732 	
171	8920	124	1	2.047619048		2.749 	36.861 	
172	8940	125	0	2.142857143		2.759 	36.990 	
173	8960	125	3	2.19047619		2.768 	37.118 	
174	8980	128	3	2.095238095		2.778 	37.245 	
175	9000	131	1	2		2.787 	37.371 	
176	9020	132	1	2		2.796 	37.497 	
177	9040	133	3	2		2.806 	37.621 	
178	9060	136	1	1.952380952		2.815 	37.746 	
179	9080	137	1	2.047619048		2.824 	37.869 	
180	9100	138	1	2.047619048		2.833 	37.992 	
181	9120	139	2	2.047619048		2.842 	38.114 	
182	9140	141	3	2		2.851 	38.235 	
183	9160	144	3	2.047619048		2.860 	38.356 	
184	9180	147	3	1.952380952		2.869 	38.476 	
185	9200	150	3	1.952380952		2.878 	38.596 	
186	9220	153	3	1.952380952		2.887 	38.714 	
187	9240	156	3	1.857142857		2.896 	38.833 	
188	9260	159	3	1.857142857		2.905 	38.950 	
189	9280	162	3	1.761904762		2.914 	39.067 	
190	9300	165	1	1.761904762		2.922 	39.183 	
191	9320	166	1	1.857142857		2.931 	39.299 	
192	9340	167	3	1.857142857		2.939 	39.414 	
193	9360	170	1	1.857142857		2.948 	39.529 	
194	9380	171	1	1.857142857		2.956 	39.643 	
195	9400	172	1	1.952380952		2.965 	39.756 	
196	9420	173	1	1.952380952		2.973 	39.869 	
197	9440	174	1	2.095238095		2.982 	39.981 	
198	9460	175	2	2.095238095		2.990 	40.092 	40
199	9480	177	3	2.142857143		2.998 	40.203 	
200	9500	180	1	2.047619048		3.006 	40.314 	
201	9520	181	1	2.19047619		3.015 	40.424 	
202	9540	182	1	2.19047619		3.023 	40.533 	
203	9560	183	4	2.285714286		3.031 	40.642 	
204	9580	187	1	2.285714286		3.039 	40.750 	
205	9600	188	3	2.380952381		3.047 	40.858 	
206	9620	191	3	2.285714286		3.055 	40.965 	
207	9640	194	1	2.19047619		3.063 	41.072 	
208	9660	195	3	2.285714286		3.071 	41.178 	
209	9680	198	1	2.333333333		3.079 	41.284 	
210	9700	199	3	2.476190476		3.087 	41.389 	
211	9720	202	3	2.523809524		3.094 	41.494 	
212	9740	205	1	2.571428571		3.102 	41.598 	
213	9760	206	3	2.714285714		3.110 	41.702 	
214	9780	209	1	2.761904762		3.118 	41.805 	
215	9800	210	3	2.761904762		3.125 	41.908 	
216	9820	213	1	2.666666667		3.133 	42.010 	
217	9840	214	4	2.714285714		3.141 	42.112 	
218	9860	218	1	2.714285714		3.148 	42.213 	
219	9880	219	3	2.80952381		3.156 	42.314 	
220	9900	222	1	2.761904762		3.163 	42.414 	
221	9920	223	4	2.857142857		3.171 	42.514 	
222	9940	227	1	2.857142857		3.178 	42.614 	
223	9960	228	3	3		3.185 	42.713 	
224	9980	231	4	3.047619048		3.193 	42.811 	
225	10000	235	3	3		3.200 	42.909 	
226	10020	238	1	2.904761905		3.207 	43.007 	
227	10040	239	1	2.952380952		3.215 	43.104 	
228	10060	240	3	3.095238095		3.222 	43.201 	
229	10080	243	4	3.142857143		3.229 	43.298 	
230	10100	247	4	3.095238095		3.236 	43.394 	
231	10120	251	4	3.047619048		3.243 	43.489 	
232	10140	255	4	2.952380952		3.250 	43.585 	
233	10160	259	4	2.952380952		3.257 	43.679 	
234	10180	263	4	2.904761905		3.265 	43.774 	
235	10200	267	1	2.761904762		3.272 	43.868 	
236	10220	268	1	2.761904762		3.279 	43.961 	
237	10240	269	2	2.761904762		3.285 	44.054 	
238	10260	271	4	2.714285714		3.292 	44.147 	
239	10280	275	3	2.714285714		3.299 	44.240 	
240	10300	278	2	2.619047619		3.306 	44.332 	
241	10320	280	3	2.714285714		3.313 	44.423 	
242	10340	283	4	2.619047619		3.320 	44.515 	
243	10360	287	4	2.619047619		3.327 	44.605 	
244	10380	291	4	2.476190476		3.333 	44.696 	
245	10400	295	3	2.380952381		3.340 	44.786 	
246	10420	298	1	2.428571429		3.347 	44.876 	
247	10440	299	2	2.523809524		3.353 	44.965 	
248	10460	301	4	2.523809524		3.360 	45.054 	
249	10480	305	4	2.476190476		3.367 	45.143 	
250	10500	309	3	2.476190476		3.373 	45.231 	
251	10520	312	3	2.428571429		3.380 	45.319 	
252	10540	315	2	2.476190476		3.386 	45.407 	
253	10560	317	4	2.476190476		3.393 	45.494 	
254	10580	321	3	2.380952381		3.399 	45.581 	
255	10600	324	1	2.380952381		3.406 	45.668 	
256	10620	325	1	2.523809524		3.412 	45.754 	
257	10640	326	1	2.571428571		3.419 	45.840 	
258	10660	327	1	2.714285714		3.425 	45.925 	
259	10680	328	4	2.857142857		3.431 	46.011 	
260	10700	332	1	2.857142857		3.438 	46.096 	
261	10720	333	4	2.952380952		3.444 	46.180 	
262	10740	337	1	2.952380952		3.450 	46.265 	
263	10760	338	4	3.142857143		3.457 	46.348 	
264	10780	342	1	3.095238095		3.463 	46.432 	
265	10800	343	2	3.142857143		3.469 	46.515 	
266	10820	345	4	3.142857143		3.475 	46.598 	
267	10840	349	3	3.047619048		3.481 	46.681 	
268	10860	352	2	3		3.487 	46.763 	
269	10880	354	3	3.095238095		3.494 	46.846 	
270	10900	357	4	3.142857143		3.500 	46.927 	
271	10920	361	2	3.142857143		3.506 	47.009 	
272	10940	363	4	3.238095238		3.512 	47.090 	
273	10960	367	2	3.238095238		3.518 	47.171 	
274	10980	369	2	3.333333333		3.524 	47.251 	
275	11000	371	3	3.333333333		3.530 	47.332 	
276	11020	374	4	3.238095238		3.536 	47.412 	
277	11040	378	2	3.19047619		3.542 	47.491 	
278	11060	380	4	3.333333333		3.548 	47.571 	
279	11080	384	4	3.285714286		3.554 	47.650 	
280	11100	388	4	3.285714286		3.559 	47.729 	
281	11120	392	3	3.285714286		3.565 	47.807 	
282	11140	395	4	3.333333333		3.571 	47.886 	
283	11160	399	5	3.238095238		3.577 	47.964 	
284	11180	404	3	3.095238095		3.583 	48.041 	
285	11200	407	2	3.047619048		3.589 	48.119 	
286	11220	409	2	3.047619048		3.594 	48.196 	
287	11240	411	2	3.047619048		3.600 	48.273 	
288	11260	413	2	3.142857143		3.606 	48.350 	
289	11280	415	4	3.285714286		3.611 	48.426 	
290	11300	419	4	3.19047619		3.617 	48.502 	
291	11320	423	4	3.095238095		3.623 	48.578 	
292	11340	427	4	3.142857143		3.628 	48.654 	
293	11360	431	4	3.142857143		3.634 	48.729 	
294	11380	435	4	3.047619048		3.640 	48.804 	
295	11400	439	2	3.095238095		3.645 	48.879 	
296	11420	441	1	3.095238095		3.651 	48.953 	
297	11440	442	3	3.238095238		3.656 	49.028 	
298	11460	445	5	3.285714286		3.662 	49.102 	
299	11480	450	3	3.142857143		3.667 	49.176 	
300	11500	453	4	3.238095238		3.673 	49.249 	
301	11520	457	4	3.238095238		3.678 	49.323 	
302	11540	461	4	3.285714286		3.684 	49.396 	
303	11560	465	2	3.285714286		3.689 	49.469 	
304	11580	467	2	3.428571429		3.695 	49.541 	
305	11600	469	2	3.428571429		3.700 	49.614 	
306	11620	471	2	3.571428571		3.705 	49.686 	
307	11640	473	2	3.571428571		3.711 	49.758 	
308	11660	475	4	3.666666667		3.716 	49.829 	
309	11680	479	5	3.571428571		3.721 	49.901 	
310	11700	484	2	3.523809524		3.727 	49.972 	
311	11720	486	2	3.523809524		3.732 	50.043 	50
312	11740	488	5	3.619047619		3.737 	50.114 	
313	11760	493	4	3.619047619		3.743 	50.184 	
314	11780	497	2	3.523809524		3.748 	50.254 	
315	11800	499	5	3.571428571		3.753 	50.324 	
316	11820	504	2	3.428571429		3.758 	50.394 	
317	11840	506	4	3.571428571		3.763 	50.464 	
318	11860	510	4	3.476190476		3.769 	50.533 	
319	11880	514	2	3.476190476		3.774 	50.603 	
320	11900	516	5	3.619047619		3.779 	50.672 	
321	11920	521	4	3.476190476		3.784 	50.740 	
322	11940	525	5	3.476190476		3.789 	50.809 	
323	11960	530	4	3.476190476		3.794 	50.877 	
324	11980	534	5	3.523809524		3.799 	50.945 	
325	12000	539	2	3.380952381		3.804 	51.013 	51
326	12020	541	5	3.476190476		3.809 	51.081 	
327	12040	546	2	3.476190476		3.814 	51.148 	
328	12060	548	4	3.523809524		3.820 	51.216 	
329	12080	552	2	3.428571429		3.825 	51.283 	
330	12100	554	4	3.523809524		3.830 	51.350 	
331	12120	558	2	3.571428571		3.834 	51.416 	
332	12140	560	4	3.619047619		3.839 	51.483 	
333	12160	564	5	3.666666667		3.844 	51.549 	
334	12180	569	2	3.571428571		3.849 	51.615 	
335	12200	571	3	3.714285714		3.854 	51.681 	
336	12220	574	2	3.80952381		3.859 	51.747 	
337	12240	576	5	3.952380952		3.864 	51.812 	
338	12260	581	2	3.857142857		3.869 	51.878 	
339	12280	583	4	3.904761905		3.874 	51.943 	
340	12300	587	5	3.857142857		3.879 	52.008 	52
341	12320	592	2	3.714285714		3.883 	52.072 	
342	12340	594	4	3.714285714		3.888 	52.137 	
343	12360	598	5	3.714285714		3.893 	52.201 	
344	12380	603	5	3.666666667		3.898 	52.265 	
345	12400	608	2	3.619047619		3.903 	52.329 	
346	12420	610	4	3.761904762		3.907 	52.393 	
347	12440	614	5	3.714285714		3.912 	52.457 	
348	12460	619	3	3.619047619		3.917 	52.520 	
349	12480	622	2	3.619047619		3.922 	52.583 	
350	12500	624	4	3.619047619		3.926 	52.646 	
351	12520	628	5	3.619047619		3.931 	52.709 	
352	12540	633	3	3.523809524		3.936 	52.772 	
353	12560	636	5	3.523809524		3.940 	52.834 	
354	12580	641	3	3.428571429		3.945 	52.897 	
355	12600	644	5	3.380952381		3.950 	52.959 	
356	12620	649	5	3.238095238		3.954 	53.021 	53
357	12640	654	5	3.095238095		3.959 	53.083 	
358	12660	659	3	3		3.963 	53.144 	
359	12680	662	3	3		3.968 	53.206 	
360	12700	665	3	3		3.973 	53.267 	
361	12720	668	2	3		3.977 	53.328 	
362	12740	670	2	3.142857143		3.982 	53.389 	
363	12760	672	4	3.285714286		3.986 	53.450 	
364	12780	676	4	3.19047619		3.991 	53.511 	
365	12800	680	4	3.095238095		3.995 	53.571 	
366	12820	684	5	3.095238095		4.000 	53.631 	
367	12840	689	3	3.047619048		4.004 	53.692 	
368	12860	692	3	3.047619048		4.009 	53.752 	
369	12880	695	3	3.095238095		4.013 	53.811 	
370	12900	698	2	3.095238095		4.018 	53.871 	
371	12920	700	4	3.238095238		4.022 	53.930 	
372	12940	704	3	3.285714286		4.026 	53.990 	
373	12960	707	3	3.238095238		4.031 	54.049 	54
374	12980	710	3	3.238095238		4.035 	54.108 	
375	13000	713	2	3.333333333		4.040 	54.167 	
376	13020	715	2	3.476190476		4.044 	54.225 	
377	13040	717	2	3.619047619		4.048 	54.284 	
378	13060	719	3	3.761904762		4.053 	54.342 	
379	13080	722	3	3.857142857		4.057 	54.401 	
380	13100	725	3	3.904761905		4.061 	54.459 	
381	13120	728	3	3.952380952		4.066 	54.517 	
382	13140	731	5	4		4.070 	54.574 	
383	13160	736	5	3.904761905		4.074 	54.632 	
384	13180	741	2	3.904761905		4.079 	54.689 	
385	13200	743	2	4		4.083 	54.747 	
386	13220	745	4	4.095238095		4.087 	54.804 	
387	13240	749	4	4.047619048		4.091 	54.861 	
388	13260	753	3	4.095238095		4.096 	54.918 	
389	13280	756	4	4.142857143		4.100 	54.975 	55
390	13300	760	3	4.142857143		4.104 	55.031 	
391	13320	763	5	4.238095238		4.108 	55.088 	
392	13340	768	5	4.142857143		4.112 	55.144 	
393	13360	773	2	4.142857143		4.117 	55.200 	
394	13380	775	3	4.142857143		4.121 	55.256 	
395	13400	778	5	4.142857143		4.125 	55.312 	
396	13420	783	5	4.047619048		4.129 	55.368 	
397	13440	788	5	4.047619048		4.133 	55.423 	
398	13460	793	5	3.952380952		4.137 	55.479 	
399	13480	798	5	3.904761905		4.142 	55.534 	
400	13500	803	4	3.80952381		4.146 	55.589 	
401	13520	807	4	3.857142857		4.150 	55.644 	
402	13540	811	4	3.80952381		4.154 	55.699 	
403	13560	815	3	3.857142857		4.158 	55.754 	
404	13580	818	5	3.857142857		4.162 	55.808 	
405	13600	823	4	3.857142857		4.166 	55.863 	
406	13620	827	4	3.857142857		4.170 	55.917 	
407	13640	831	3	3.80952381		4.174 	55.971 	
408	13660	834	5	3.904761905		4.178 	56.025 	56
409	13680	839	4	3.80952381		4.182 	56.079 	
410	13700	843	4	3.761904762		4.186 	56.133 	
411	13720	847	5	3.761904762		4.190 	56.187 	
412	13740	852	3	3.666666667		4.194 	56.240 	
413	13760	855	5	3.619047619		4.198 	56.294 	
414	13780	860	2	3.476190476		4.202 	56.347 	
415	13800	862	3	3.571428571		4.206 	56.400 	
416	13820	865	3	3.666666667		4.210 	56.453 	
417	13840	868	5	3.666666667		4.214 	56.506 	
418	13860	873	3	3.666666667		4.218 	56.559 	
419	13880	876	4	3.761904762		4.222 	56.612 	
420	13900	880	3	3.80952381		4.226 	56.664 	
421	13920	883	5	3.80952381		4.230 	56.717 	
